지주명,공시연도,공시유형,구분,제목,파일명,방식,다운로드성공,실패사유,목록크기,실제크기,크기차이,페이지수,텍스트추출,텍스트글자수,스캔본추정,목차항목수,본문발견섹션수,섹션출처,목차없음,표수,표셀수,쪽당표셀,표추출신뢰도,sha256,url,fetched_at
NH농협금융지주,2025,본공시,지배구조·보수체계 통합,(공시) 2024년 농협금융지주 지배구조 및 보수체계 연차보고서,NH농협금융지주_지배구조연차보고서_2025.pdf,GET,Y,,4165045,4165045,,360,Y,435952,N,23,720,본문표제,N,997,75215,208.9,보통,b8b9b02b93a7d8c7c5ebbd8dcd436a1f9a3387fb055faea66f38c0f948e68b83,https://www.nhfngroup.com/common/downLoad.do?siteId=nhfngroup&fileSeq=5680657&flag=A&albumType=1,2026-09-22T02:45:21+0000
NH농협금융지주,2025,추가공시,지배구조·보수체계 통합,(공시) NH농협금융지주 2024년 지배구조 및 보수체계 연차보고서 추가공시,NH농협금융지주_지배구조연차보고서_2025_추가공시.pdf,GET,Y,,5022346,5022346,,360,Y,436008,N,23,720,본문표제,N,997,75201,208.9,보통,7ca25d34f255f2ef4cbd0ed4a1ed6fa15b96562a0fe69f8790ea6010ee7015dc,https://www.nhfngroup.com/common/downLoad.do?siteId=nhfngroup&fileSeq=5702985&flag=A&albumType=1,2026-09-22T02:45:41+0000
NH농협금융지주,2026,본공시,지배구조·보수체계 통합,(공시) NH농협금융지주 2025년 지배구조 및 보수체계 연차보고서,NH농협금융지주_지배구조연차보고서_2026.pdf,GET,Y,,5337462,5337462,,334,Y,429647,N,0,683,본문표제,N,867,67252,201.4,보통,bc1463afbba6446cf087fcb7f714ff64fbda86033adc4b7167ae3a199cac68bb,https://www.nhfngroup.com/common/downLoad.do?siteId=nhfngroup&fileSeq=5831803&flag=A&albumType=1,2026-09-22T02:45:52+0000
NH농협금융지주,2026,추가공시,지배구조·보수체계 통합,(공시) NH농협금융지주 2025년도 지배구조 및 보수체계 연차보고서 추가공시,NH농협금융지주_지배구조연차보고서_2026_추가공시.pdf,GET,Y,,5620463,5620463,,344,Y,381107,N,0,682,본문표제,N,892,67451,196.1,보통,e934924a8b150f47a812076c3f8f17a17c10a3384de09f110b0d8af4f9dc7d31,https://www.nhfngroup.com/common/downLoad.do?siteId=nhfngroup&fileSeq=5850960&flag=A&albumType=1,2026-09-22T02:46:03+0000
iM금융지주,,조직도,조직도,조직도 이미지,iM금융지주_조직도.jpg,GET,Y,,,293630,,,-,,,,,,N,,,,,a9d55a498c8b8921d20d3d2b74dde9d8b774f07d2b5b92cfce24c3628067bb33,https://www.imfngroup.com/pc/img/ko/img_ad04_1.jpg,2026-09-22T02:41:14+0000
iM금융지주,2025,본공시,지배구조·보수체계 통합,2024년도 DGB금융지주 지배구조 및 보수체계 연차보고서,iM금융지주_지배구조연차보고서_2025.pdf,GET,Y,,8129531,8129531,,330,Y,415567,N,18,18,목차,N,868,60156,182.3,보통,a285a56b060f2d7f2393a26ab1ff60da58cad20e9b4bf74856ee46204d224b2b,https://www.imfngroup.com/nbbsR3.fg?putup_writ_seq=3945&file_seq=1,2026-09-22T02:41:42+0000
iM금융지주,2025,추가공시,지배구조·보수체계 통합,2024년도 지배구조 및 보수체계 연차보고서 추가 공시,iM금융지주_지배구조연차보고서_2025_추가공시.pdf,GET,Y,,16323635,16323635,,330,Y,416140,N,18,18,목차,N,868,60143,182.3,보통,0af440122435920d2ea2d140e2b5579d95b1babf67ec3fd5dc4a382d9da17eff,https://www.imfngroup.com/nbbsR3.fg?putup_writ_seq=3989&file_seq=1,2026-09-22T02:41:58+0000
iM금융지주,2026,본공시,지배구조·보수체계 통합,2025년도 iM금융지주 지배구조 및 보수체계 연차보고서,iM금융지주_지배구조연차보고서_2026.pdf,GET,Y,,12989181,12989181,,294,Y,516051,N,32,19,목차,N,919,64586,219.7,보통,1b008a7d6a2952cfb20abc8aef7f3f2288a7b4478f3e9c7bf81500fc55c79bdf,https://www.imfngroup.com/nbbsR3.fg?putup_writ_seq=4271&file_seq=1,2026-09-22T02:42:34+0000
iM금융지주,2026,추가공시,지배구조·보수체계 통합,2025년도 지배구조 및 보수체계 연차보고서 추가 공시,iM금융지주_지배구조연차보고서_2026_추가공시.pdf,GET,Y,,8968972,8968972,,294,Y,513786,N,32,19,목차,N,918,64394,219.0,보통,b444b0310c4c8cc3098f4480765349bfaccd1b01d10a06647dec2f517cc65ad3,https://www.imfngroup.com/nbbsR3.fg?putup_writ_seq=4317&file_seq=1,2026-09-22T02:42:57+0000
메리츠금융지주,2025,본공시,지배구조·보수체계 통합,2024년 지배구조 및 보수체계 연차보고서,메리츠금융지주_지배구조연차보고서_2025.pdf,GET,Y,,2675337,2675337,,231,Y,288708,N,160,153,목차,N,493,50152,217.1,보통,dd01e81ece51eb27af932e560548e07d25aca753539a59617b7d2060370a006a,https://www.meritzgroup.com/commfiles/hld/attach/2025/20250328/202503281555190730003U.pdf,2026-09-22T02:36:47+0000
