phase,endpoint,params_json,raw_path
phase1,irdsSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/irdsSttus/00126256_2024_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2024"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00126256_2024_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2024"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00126256_2024_11011.json
phase1,alotMatter,"{""bsns_year"": ""2024"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/alotMatter/00126256_2024_11011.json
phase1,empSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/empSttus/00126256_2024_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00126256_2025_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00126256_2025_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/irdsSttus/00126256_2025_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00126256_2025_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00126256_2025_11011.json
phase1,alotMatter,"{""bsns_year"": ""2025"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/alotMatter/00126256_2025_11011.json
