corp_label,entity_type,group,corp_code,corp_name,bsns_year,reprt_code,reprt_nm,accounting_std_inferred,corp_cls,inference_rule,isu_dcrs_de,isu_dcrs_mstvdv_amount,isu_dcrs_mstvdv_fval_amount,isu_dcrs_qy,isu_dcrs_stle,isu_dcrs_stock_knd,stlm_dt,value_source,source_endpoint,source_params,rcept_no,rcept_no_source,fetched_at,status,call_id,raw_path,raw_sha256,data_age_days
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2022,11011,사업보고서,IFRS4,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2022-12-31,api,irdsSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20230814002562,api_row,2026-08-31T16:06:47+09:00,000,run_20260831_152517_1116,raw/irdsSttus/00148391_2022_11011.json,f433361115b56515e9ad15e4306b07b6f98881a3ecb01f74c01f7f08af653403,16
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2022,11011,사업보고서,IFRS4,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2022-12-31,api,irdsSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20230814002562,api_row,2026-08-31T16:06:47+09:00,000,run_20260831_152517_1116,raw/irdsSttus/00148391_2022_11011.json,f433361115b56515e9ad15e4306b07b6f98881a3ecb01f74c01f7f08af653403,16
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2023,11011,사업보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2023-12-31,api,irdsSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20240430000559,api_row,2026-08-31T16:06:57+09:00,000,run_20260831_152517_1125,raw/irdsSttus/00148391_2023_11011.json,fd826ead101e56e3f4762fe21e7071403761f5ea733caa32b5e66e29acd0e6c0,16
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2023,11011,사업보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2023-12-31,api,irdsSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20240430000559,api_row,2026-08-31T16:06:57+09:00,000,run_20260831_152517_1125,raw/irdsSttus/00148391_2023_11011.json,fd826ead101e56e3f4762fe21e7071403761f5ea733caa32b5e66e29acd0e6c0,16
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2024,11011,사업보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2024-12-31,api,irdsSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20250514001000,api_row,2026-08-31T16:07:25+09:00,000,run_20260831_152517_1134,raw/irdsSttus/00148391_2024_11011.json,6a441f7a6862b8e168b16054db56e67392ac3c63022049794b944797ae1ad054,16
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2024,11011,사업보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2024-12-31,api,irdsSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20250514001000,api_row,2026-08-31T16:07:25+09:00,000,run_20260831_152517_1134,raw/irdsSttus/00148391_2024_11011.json,6a441f7a6862b8e168b16054db56e67392ac3c63022049794b944797ae1ad054,16
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2025,11011,사업보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2025-12-31,api,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20260331003080,api_row,2026-08-31T16:07:41+09:00,000,run_20260831_152517_1142,raw/irdsSttus/00148391_2025_11011.json,ae511f355fbe0f32736d40b80d01182cd544e16255a1ea26742d904c64203043,16
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2025,11011,사업보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2025-12-31,api,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20260331003080,api_row,2026-08-31T16:07:41+09:00,000,run_20260831_152517_1142,raw/irdsSttus/00148391_2025_11011.json,ae511f355fbe0f32736d40b80d01182cd544e16255a1ea26742d904c64203043,16
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2025,11012,반기보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2025-06-30,api,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00148391"", ""reprt_code"": ""11012""}",20250829002137,api_row,2026-08-31T16:08:05+09:00,000,run_20260831_152517_1151,raw/irdsSttus/00148391_2025_11012.json,2fb71e071a611881dc62e04ed8b8159e7e7a3757883233bfec27da6d0b3a3283,16
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2025,11012,반기보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2025-06-30,api,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00148391"", ""reprt_code"": ""11012""}",20250829002137,api_row,2026-08-31T16:08:05+09:00,000,run_20260831_152517_1151,raw/irdsSttus/00148391_2025_11012.json,2fb71e071a611881dc62e04ed8b8159e7e7a3757883233bfec27da6d0b3a3283,16
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2026,11012,반기보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2026-06-30,api,irdsSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00148391"", ""reprt_code"": ""11012""}",20260831000754,api_row,2026-08-31T16:08:29+09:00,000,run_20260831_152517_1160,raw/irdsSttus/00148391_2026_11012.json,8248e79226abf6cd4db05db9e77d3aa2dcbd21275f19e1800ef0225d2a832ee2,16
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2026,11012,반기보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2026-06-30,api,irdsSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00148391"", ""reprt_code"": ""11012""}",20260831000754,api_row,2026-08-31T16:08:29+09:00,000,run_20260831_152517_1160,raw/irdsSttus/00148391_2026_11012.json,8248e79226abf6cd4db05db9e77d3aa2dcbd21275f19e1800ef0225d2a832ee2,16
DB생명보험,생보,대조군,00168933,DB생명보험,2021,11011,사업보고서,IFRS4,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2020.12.18,"12,500","5,000","12,000,481",유상증자(일반공모),보통주,2021-12-31,api,irdsSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",20220331000879,api_row,2026-09-14T10:05:09+09:00,000,run_20260914_095520_0298,raw/irdsSttus/00168933_2021_11011.json,2f555f5ed1e81dfbb068d7323aa2c8fe479c9438563d053936d242276c58787c,2
DB생명보험,생보,대조군,00168933,DB생명보험,2021,11011,사업보고서,IFRS4,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2020.12.18,"12,500","5,000","9,597,200",전환권행사,보통주,2021-12-31,api,irdsSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",20220331000879,api_row,2026-09-14T10:05:09+09:00,000,run_20260914_095520_0298,raw/irdsSttus/00168933_2021_11011.json,2f555f5ed1e81dfbb068d7323aa2c8fe479c9438563d053936d242276c58787c,2
DB생명보험,생보,대조군,00168933,DB생명보험,2021,11011,사업보고서,IFRS4,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2020.12.18,"12,500","5,000","9,597,200",전환권행사,전환우선주,2021-12-31,api,irdsSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",20220331000879,api_row,2026-09-14T10:05:09+09:00,000,run_20260914_095520_0298,raw/irdsSttus/00168933_2021_11011.json,2f555f5ed1e81dfbb068d7323aa2c8fe479c9438563d053936d242276c58787c,2
DB생명보험,생보,대조군,00168933,DB생명보험,2022,11011,사업보고서,IFRS4,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2020.12.18,"12,500","5,000","12,000,481",유상증자(일반공모),보통주,2022-12-31,api,irdsSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",20230331002038,api_row,2026-09-14T10:05:19+09:00,000,run_20260914_095520_0305,raw/irdsSttus/00168933_2022_11011.json,d7fe74503eedfc24c257fc3b766fd1084b6ec5bfdb0935f0a1b32e06dcf8d756,2
DB생명보험,생보,대조군,00168933,DB생명보험,2022,11011,사업보고서,IFRS4,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2020.12.18,"12,500","5,000","9,597,200",전환권행사,보통주,2022-12-31,api,irdsSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",20230331002038,api_row,2026-09-14T10:05:19+09:00,000,run_20260914_095520_0305,raw/irdsSttus/00168933_2022_11011.json,d7fe74503eedfc24c257fc3b766fd1084b6ec5bfdb0935f0a1b32e06dcf8d756,2
DB생명보험,생보,대조군,00168933,DB생명보험,2022,11011,사업보고서,IFRS4,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2020.12.18,"12,500","5,000","9,597,200",전환권행사,전환우선주,2022-12-31,api,irdsSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",20230331002038,api_row,2026-09-14T10:05:19+09:00,000,run_20260914_095520_0305,raw/irdsSttus/00168933_2022_11011.json,d7fe74503eedfc24c257fc3b766fd1084b6ec5bfdb0935f0a1b32e06dcf8d756,2
DB생명보험,생보,대조군,00168933,DB생명보험,2023,11011,사업보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2020.12.18,"12,500","5,000","12,000,481",유상증자(일반공모),보통주,2023-12-31,api,irdsSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",20240430000694,api_row,2026-09-14T10:05:30+09:00,000,run_20260914_095520_0312,raw/irdsSttus/00168933_2023_11011.json,e587b051cc9f86134f5aafe158d2d3c30cd602da8fcffbd2cfb832fad3e443d6,2
DB생명보험,생보,대조군,00168933,DB생명보험,2023,11011,사업보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2020.12.18,"12,500","5,000","9,597,200",전환권행사,보통주,2023-12-31,api,irdsSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",20240430000694,api_row,2026-09-14T10:05:30+09:00,000,run_20260914_095520_0312,raw/irdsSttus/00168933_2023_11011.json,e587b051cc9f86134f5aafe158d2d3c30cd602da8fcffbd2cfb832fad3e443d6,2
DB생명보험,생보,대조군,00168933,DB생명보험,2023,11011,사업보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2020.12.18,"12,500","5,000","9,597,200",전환권행사,전환우선주,2023-12-31,api,irdsSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",20240430000694,api_row,2026-09-14T10:05:30+09:00,000,run_20260914_095520_0312,raw/irdsSttus/00168933_2023_11011.json,e587b051cc9f86134f5aafe158d2d3c30cd602da8fcffbd2cfb832fad3e443d6,2
DB생명보험,생보,대조군,00168933,DB생명보험,2024,11011,사업보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2020.12.18,"12,500","5,000","12,000,481",유상증자(일반공모),보통주,2024-12-31,api,irdsSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00168933"", ""reprt_code"": ""11011""}",20250328002241,api_row,2026-09-14T10:05:43+09:00,000,run_20260914_095520_0319,raw/irdsSttus/00168933_2024_11011.json,2e1ce1905c1ff51c4100e279f339c462b005ebdebb178d899ea1f1256a5f6796,2
