지주명,구분,공시연도,공시일,제목,저장 파일명,크기(bytes),URL
iM금융지주,지배구조·보수체계 통합,2025,2025-04-14,2024년도 지배구조 및 보수체계 연차보고서 추가 공시,iM금융지주_지배구조연차보고서_2025_추가공시.pdf,16323635,https://www.imfngroup.com/nbbsR3.fg?putup_writ_seq=3989&file_seq=1
iM금융지주,지배구조·보수체계 통합,2026,2026-03-04,2025년도 iM금융지주 지배구조 및 보수체계 연차보고서,iM금융지주_지배구조연차보고서_2026.pdf,12989181,https://www.imfngroup.com/nbbsR3.fg?putup_writ_seq=4271&file_seq=1
iM금융지주,지배구조·보수체계 통합,2026,2026-04-14,2025년도 지배구조 및 보수체계 연차보고서 추가 공시,iM금융지주_지배구조연차보고서_2026_추가공시.pdf,8968972,https://www.imfngroup.com/nbbsR3.fg?putup_writ_seq=4317&file_seq=1
한국투자금융지주,조직도,,,조직도 이미지,한국투자금융지주_조직도.png,,https://www.koreaholdings.com/images/exctv03.png
한국투자금융지주,지배구조·보수체계 통합,2025,2025-03-07,2024년 지배구조 및 보수체계 연차보고서 공시,한국투자금융지주_지배구조연차보고서_2025.pdf,5477520,"https://www.koreaholdings.com/kr/bbs/disclosure/read?seq=1602&lang=kr&bcode=disclosure (첨부: POST /common/fildDownload, real_filename=/attach/2025/03/07/Up_dev_1_20250307181121.pdf)"
한국투자금융지주,지배구조·보수체계 통합,2025,2025-04-15,2024년 지배구조 및 보수체계 연차보고서 재공시,한국투자금융지주_지배구조연차보고서_2025_재공시.pdf,5462203,"https://www.koreaholdings.com/kr/bbs/disclosure/read?seq=1619&lang=kr&bcode=disclosure (첨부: POST /common/fildDownload, real_filename=/attach/2025/04/15/Up_admin_1_20250415160614.pdf)"
한국투자금융지주,지배구조·보수체계 통합,2026,2026-03-06,2025년 지배구조 및 보수체계 연차보고서 공시,한국투자금융지주_지배구조연차보고서_2026.pdf,4071634,"https://www.koreaholdings.com/kr/bbs/disclosure/read?seq=1689&lang=kr&bcode=disclosure (첨부: POST /common/fildDownload, real_filename=/attach/2026/03/06/Up_admin_1_20260306131153.pdf)"
한국투자금융지주,지배구조·보수체계 통합,2026,2026-05-15,2025년 지배구조 및 보수체계 연차보고서 재공시,한국투자금융지주_지배구조연차보고서_2026_재공시.pdf,4079711,"https://www.koreaholdings.com/kr/bbs/disclosure/read?seq=1710&lang=kr&bcode=disclosure (첨부: POST /common/fildDownload, real_filename=/attach/2026/05/15/Up_admin_1_20260515150257.pdf)"
BNK금융지주,조직도,,,조직도 이미지,BNK금융지주_조직도_20250717.jpg,,https://www.bnkfg.com/images/contents/con1_6_20250717.jpg
BNK금융지주,지배구조·보수체계 통합,2025,2025-03-04,[BNK금융지주] 2024년 지배구조 및 보수체계 연차보고서 공시,BNK금융지주_지배구조연차보고서_2025.pdf,3769953,https://www.bnkfg.com/download?seq=5976
BNK금융지주,보수체계,2025,2025-03-11,[BNK금융지주] 2024년도 보수체계 연차보고서 수정 공시,BNK금융지주_보수체계연차보고서_2025_수정공시.pdf,359132,https://www.bnkfg.com/download?seq=5980
BNK금융지주,지배구조·보수체계 통합,2026,2026-03-05,[BNK금융지주] 2025년 지배구조 및 보수체계 연차보고서 공시,BNK금융지주_지배구조연차보고서_2026.pdf,4004362,https://www.bnkfg.com/download?seq=6532
JB금융지주,조직도,,,조직도 이미지,JB금융지주_조직도.svg,,https://www.jbfg.com/assets/img/governance/img-organization.svg
JB금융지주,지배구조·보수체계 통합,2025,2025-03-06,(JB금융지주) 2024년 지배구조 및 보수체계 연차보고서,JB금융지주_지배구조연차보고서_2025.pdf,7640035,https://www.jbfg.com/ko/file/download.do?id=31614734-513c-466b-e064-548028409014
JB금융지주,지배구조·보수체계 통합,2026,2026-03-05,(JB금융지주) 2025년 지배구조 및 보수체계 연차보고서,JB금융지주_지배구조연차보고서_2026.pdf,2995848,https://www.jbfg.com/ko/file/download.do?id=766572e4-6f3c-4fe4-9769-40c667b3772e
JB금융지주,지배구조·보수체계 통합,2026,2026-04-07,(JB금융지주) 2025년 지배구조 및 보수체계 연차보고서(정정),JB금융지주_지배구조연차보고서_2026_정정공시.pdf,4368482,https://www.jbfg.com/ko/file/download.do?id=af3022ef-4e61-4e5f-9cb8-aabf7c8730ce
NH농협금융지주,조직도,,,조직도 이미지,NH농협금융지주_조직도_202601.jpg,,https://www.nhfngroup.com/attach/nhghome/nhfngroup/k2board/editerUpload/20251231142607581_AF0T6H5Z.jpg
NH농협금융지주,지배구조·보수체계 통합,2025,2025-03-07,(공시) 2024년 농협금융지주 지배구조 및 보수체계 연차보고서,NH농협금융지주_지배구조연차보고서_2025.pdf,4165045,https://www.nhfngroup.com/common/downLoad.do?siteId=nhfngroup&fileSeq=5680657&flag=A&albumType=1
NH농협금융지주,지배구조·보수체계 통합,2025,2025-04-15,(공시) NH농협금융지주 2024년 지배구조 및 보수체계 연차보고서 추가공시,NH농협금융지주_지배구조연차보고서_2025_추가공시.pdf,5022346,https://www.nhfngroup.com/common/downLoad.do?siteId=nhfngroup&fileSeq=5702985&flag=A&albumType=1
NH농협금융지주,지배구조·보수체계 통합,2026,2026-03-10,(공시) NH농협금융지주 2025년 지배구조 및 보수체계 연차보고서,NH농협금융지주_지배구조연차보고서_2026.pdf,5337462,https://www.nhfngroup.com/common/downLoad.do?siteId=nhfngroup&fileSeq=5831803&flag=A&albumType=1
NH농협금융지주,지배구조·보수체계 통합,2026,2026-04-15,(공시) NH농협금융지주 2025년도 지배구조 및 보수체계 연차보고서 추가공시,NH농협금융지주_지배구조연차보고서_2026_추가공시.pdf,5620463,https://www.nhfngroup.com/common/downLoad.do?siteId=nhfngroup&fileSeq=5850960&flag=A&albumType=1
